AssetId	FileCount	Files
123	3	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\README.md | tools\music-migration\RepairTrackParts.server.luau
1001	1	tools\music-migration\example-source.luau
1002	1	tools\music-migration\example-source.luau
1003	1	tools\music-migration\example-source.luau
1004	1	tools\music-migration\example-source.luau
1005	1	tools\music-migration\example-source.luau
1006	1	tools\music-migration\example-source.luau
1007	1	tools\music-migration\example-source.luau
1008	1	tools\music-migration\example-source.luau
1009	1	tools\music-migration\example-source.luau
123456789	1	tools\ClubKitPackagerPlugin\prototypes\setup-onboarding-v1.html
180435571	1	src\ReplicatedStorage\Hazastudio_ClubKit\Shared\Constants\Config.luau
507766388	1	src\ReplicatedStorage\Hazastudio_ClubKit\Shared\Constants\Config.luau
947384308	1	src\StarterPlayerScripts\StarterPlayerScripts\Hazastudio_ClubKit\Client\Effects\EffectDonate\LocalNuke\Scripts\SpawnFireworks.client.luau
1111111111	1	tools\music-migration\example-source.luau
1234567890	2	tools\music-migration\example-source.luau | tools\music-migration\README.md
1234567891	1	tools\music-migration\example-source.luau
2222222222	1	tools\music-migration\example-source.luau
3333333333	1	tools\music-migration\example-source.luau
4444444444	1	tools\music-migration\example-source.luau
5555555555	1	tools\music-migration\example-source.luau
6035193736	4	tools\CarryAnimUploaderPlugin\init.server.luau | tools\ClubKitPackagerPlugin\dist\HazastudioClubKitPackager.plugin.luau | tools\ClubKitPackagerPlugin\test-minimal.plugin.luau | tools\ClubKitStudioTools\init.server.luau
9876543210	1	tools\music-migration\example-source.luau
12187365364	2	CHANGELOG.md | tools\BuildAdminHub.editmode.luau
12187365977	4	src\StarterPlayerScripts\StarterPlayerScripts\Hazastudio_ClubKit\Client\Controllers\CinematicDockController.luau | src\StarterPlayerScripts\StarterPlayerScripts\Hazastudio_ClubKit\Client\UI\AvatarContextUI.luau | src\StarterPlayerScripts\StarterPlayerScripts\Hazastudio_ClubKit\Client\UI\MusicPlayerUIBinder.luau | src\StarterPlayerScripts\StarterPlayerScripts\Hazastudio_ClubKit\Client\UI\NotificationCenterBuilder.luau
12345678901234	1	tools\plugin-prototype\clubkit-panel-prototype.html
70457204831369	1	src\ReplicatedStorage\Hazastudio_ClubKit\Shared\Constants\Config.luau
70498532378498	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
70692404618828	1	src\ReplicatedStorage\Hazastudio_ClubKit\Shared\Constants\Config.luau
70859487025367	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
71042309337335	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
71059173431937	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
71622181024510	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
71634976881165	1	src\ReplicatedStorage\Hazastudio_ClubKit\Shared\Domain\DonationProviderDomain.luau
71654241254125	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
71798689403807	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
72355900784464	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
72481977505543	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
72484100745582	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
72586797386027	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
72764514743517	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
73035049515129	2	tools\music-migration\MigrateMusic.server.luau | tools\music-migration\SOURCE_DATA.generated.lua
